Encoder,H,m,mean_S_probe,mean_S_rollout,mean_Delta,CI_low,CI_high,excludes_zero
MiniLM,16,3,0.45043908703562835,0.4058737465655044,0.04456534047012401,-0.002778831191681675,0.09128184017530619,False
MiniLM,16,5,0.45043908703562835,0.5825183876499589,-0.13207930061433062,-0.1806452015152843,-0.08426916686848894,True
MiniLM,16,10,0.45043908703562835,0.8349612089438773,-0.38452212190824897,-0.42029527360030616,-0.3483620940628926,True
MiniLM,16,20,0.45043908703562835,0.9391823519418775,-0.4887432649062491,-0.5197473614650062,-0.45766604645456627,True
MiniLM,48,3,0.43629994609190187,0.3102643408494642,0.1260356052424378,0.08130461023895763,0.1692991382247313,True
MiniLM,48,5,0.43629994609190187,0.45939367110267326,-0.023093725010771202,-0.0743288932848793,0.02627082875190949,False
MiniLM,48,10,0.43629994609190187,0.6806880629548281,-0.24438811686292605,-0.28532188359119937,-0.20379773824544828,True
MiniLM,48,20,0.43629994609190187,0.8659070281269047,-0.4296070820350023,-0.4660073448329568,-0.3936965954678044,True
MiniLM,96,3,0.41642689808139477,0.27317257903675907,0.14325431904463565,0.10026413981406239,0.1854301563692761,True
MiniLM,96,5,0.41642689808139477,0.40441872339350304,0.012008174687891657,-0.038379331874332734,0.06077712881551662,False
MiniLM,96,10,0.41642689808139477,0.5984582362426005,-0.18203133816120595,-0.22512408336802553,-0.14021269125124058,True
MiniLM,96,20,0.41642689808139477,0.7818269301383226,-0.36540003205692767,-0.40515418930308117,-0.3256006443565938,True
MiniLM,192,3,0.4280161272542158,0.2435895666412213,0.18442656061299445,0.14341466660766466,0.22350751443844122,True
MiniLM,192,5,0.4280161272542158,0.35240884584386756,0.07560728141034825,0.02775602639609751,0.12104973137855271,True
MiniLM,192,10,0.4280161272542158,0.5232724900785678,-0.09525636282435211,-0.13741293728817863,-0.05406015865457771,True
MiniLM,192,20,0.4280161272542158,0.6940746005062,-0.26605847325198423,-0.30599511740348645,-0.22648788433111985,True
MiniLM,256,3,0.44207072487218213,0.2358242667713111,0.206246458100871,0.16610473140258578,0.24498157755306785,True
MiniLM,256,5,0.44207072487218213,0.33850167814345655,0.10356904672872558,0.05655255664416838,0.1479742183317603,True
MiniLM,256,10,0.44207072487218213,0.4996232658812251,-0.05755254100904321,-0.10033108680336292,-0.015860900617079177,True
MiniLM,256,20,0.44207072487218213,0.6648713288512564,-0.22280060397907445,-0.26249540694215767,-0.18341506522653878,True
BGE,16,3,0.6982433643361368,0.6410146898613722,0.05722867447476452,0.033865519386418484,0.08012333183082046,True
