Encoder,H,Probe,Rollout-3,Rollout-5,Rollout-10,Rollout-20,Best layer
MiniLM,16,0.4504,0.4059,0.5825,0.8350,0.9392,20
MiniLM,48,0.4363,0.3103,0.4594,0.6807,0.8659,20
MiniLM,96,0.4164,0.2732,0.4044,0.5985,0.7818,20
MiniLM,192,0.4280,0.2436,0.3524,0.5233,0.6941,20
MiniLM,256,0.4421,0.2358,0.3385,0.4996,0.6649,20
BGE,16,0.6982,0.6410,0.7366,0.8885,0.9472,20
BGE,48,0.7138,0.6024,0.6778,0.7969,0.9023,20
BGE,96,0.7243,0.5916,0.6599,0.7639,0.8624,20
BGE,192,0.7448,0.5899,0.6559,0.7544,0.8463,20
BGE,256,0.7473,0.5849,0.6501,0.7461,0.8369,20
E5,16,0.8641,0.8126,0.8554,0.9353,0.9690,20
E5,48,0.8656,0.7832,0.8136,0.8687,0.9357,20
E5,96,0.8616,0.7728,0.8005,0.8498,0.9131,20
E5,192,0.8650,0.7732,0.7997,0.8439,0.8999,20
E5,256,0.8675,0.7735,0.7983,0.8396,0.8938,20
