Encoder,H,m,Delta,CI low,CI high,Excludes 0?
MiniLM,16,3,0.0446,-0.0028,0.0913,No
MiniLM,16,5,-0.1321,-0.1806,-0.0843,Yes
MiniLM,16,10,-0.3845,-0.4203,-0.3484,Yes
MiniLM,16,20,-0.4887,-0.5197,-0.4577,Yes
MiniLM,48,3,0.1260,0.0813,0.1693,Yes
MiniLM,48,5,-0.0231,-0.0743,0.0263,No
MiniLM,48,10,-0.2444,-0.2853,-0.2038,Yes
MiniLM,48,20,-0.4296,-0.4660,-0.3937,Yes
MiniLM,96,3,0.1433,0.1003,0.1854,Yes
MiniLM,96,5,0.0120,-0.0384,0.0608,No
MiniLM,96,10,-0.1820,-0.2251,-0.1402,Yes
MiniLM,96,20,-0.3654,-0.4052,-0.3256,Yes
MiniLM,192,3,0.1844,0.1434,0.2235,Yes
MiniLM,192,5,0.0756,0.0278,0.1210,Yes
MiniLM,192,10,-0.0953,-0.1374,-0.0541,Yes
MiniLM,192,20,-0.2661,-0.3060,-0.2265,Yes
MiniLM,256,3,0.2062,0.1661,0.2450,Yes
MiniLM,256,5,0.1036,0.0566,0.1480,Yes
MiniLM,256,10,-0.0576,-0.1003,-0.0159,Yes
MiniLM,256,20,-0.2228,-0.2625,-0.1834,Yes
BGE,16,3,0.0572,0.0339,0.0801,Yes
BGE,16,5,-0.0383,-0.0609,-0.0155,Yes
BGE,16,10,-0.1903,-0.2065,-0.1747,Yes
BGE,16,20,-0.2490,-0.2633,-0.2351,Yes
BGE,48,3,0.1114,0.0927,0.1298,Yes
BGE,48,5,0.0359,0.0158,0.0554,Yes
BGE,48,10,-0.0831,-0.0990,-0.0671,Yes
BGE,48,20,-0.1886,-0.2025,-0.1747,Yes
BGE,96,3,0.1326,0.1146,0.1504,Yes
BGE,96,5,0.0643,0.0441,0.0838,Yes
BGE,96,10,-0.0396,-0.0565,-0.0227,Yes
BGE,96,20,-0.1381,-0.1527,-0.1239,Yes
BGE,192,3,0.1549,0.1363,0.1726,Yes
BGE,192,5,0.0889,0.0683,0.1090,Yes
BGE,192,10,-0.0096,-0.0280,0.0086,No
BGE,192,20,-0.1015,-0.1171,-0.0857,Yes
BGE,256,3,0.1624,0.1438,0.1804,Yes
BGE,256,5,0.0973,0.0763,0.1175,Yes
BGE,256,10,0.0012,-0.0175,0.0197,No
BGE,256,20,-0.0896,-0.1059,-0.0730,Yes
E5,16,3,0.0515,0.0424,0.0604,Yes
E5,16,5,0.0087,-0.0008,0.0181,No
E5,16,10,-0.0712,-0.0788,-0.0638,Yes
E5,16,20,-0.1049,-0.1109,-0.0988,Yes
E5,48,3,0.0824,0.0750,0.0897,Yes
E5,48,5,0.0520,0.0433,0.0604,Yes
E5,48,10,-0.0030,-0.0113,0.0051,No
E5,48,20,-0.0701,-0.0768,-0.0634,Yes
E5,96,3,0.0888,0.0811,0.0962,Yes
E5,96,5,0.0612,0.0520,0.0700,Yes
E5,96,10,0.0119,0.0031,0.0207,Yes
E5,96,20,-0.0515,-0.0585,-0.0443,Yes
E5,192,3,0.0918,0.0845,0.0988,Yes
E5,192,5,0.0653,0.0562,0.0743,Yes
E5,192,10,0.0211,0.0124,0.0298,Yes
E5,192,20,-0.0348,-0.0415,-0.0281,Yes
E5,256,3,0.0941,0.0870,0.1009,Yes
E5,256,5,0.0692,0.0605,0.0779,Yes
E5,256,10,0.0279,0.0193,0.0365,Yes
E5,256,20,-0.0263,-0.0328,-0.0196,Yes
