layer,k,alpha,pilot_margin_mean,pilot_margin_std,n_examples,selected_for_layer
1,0.05,0.04442407488822937,0.002878486877307296,0.014884400181472301,40,False
1,0.1,0.08884814977645875,0.0011888162698596716,0.005646711215376854,40,False
1,0.2,0.1776962995529175,0.0022453858982771635,0.014437059871852398,40,False
1,0.3,0.2665444493293762,0.001170067465864122,0.01377316564321518,40,False
1,0.4,0.355392599105835,0.0034521922934800386,0.013975865207612514,40,False
1,0.6,0.5330888986587524,-0.0005483700078912079,0.0034681963734328747,40,False
1,0.8,0.71078519821167,0.0008194973925128579,0.003677308326587081,40,False
1,1.0,0.8884814977645874,0.001210629241541028,0.006950077600777149,40,False
1,1.6,1.42157039642334,0.006106358487159014,0.023551421239972115,40,True
1,2.4,2.1323555946350097,0.003153611673042178,0.02216193825006485,40,False
1,3.2,2.84314079284668,-0.001200673752464354,0.014229165390133858,40,False
1,4.8,4.264711189270019,-0.005606020800769329,0.03418833762407303,40,False
1,6.4,5.68628158569336,-0.005512145813554525,0.03520466014742851,40,False
1,8.0,7.107851982116699,-0.003921215422451496,0.035373713821172714,40,False
4,0.05,1.8825006484985352,0.000968142703641206,0.00527020450681448,40,False
4,0.1,3.7650012969970703,0.004013289697468281,0.025982903316617012,40,True
4,0.2,7.530002593994141,0.0012406769674271345,0.01775181107223034,40,False
4,0.3,11.295003890991211,-0.0048059457913041115,0.036726877093315125,40,False
4,0.4,15.060005187988281,-0.0062986561097204685,0.035304781049489975,40,False
4,0.6,22.590007781982422,-0.01762014627456665,0.04252537339925766,40,False
4,0.8,30.120010375976562,-0.009349027648568153,0.046171028167009354,40,False
4,1.0,37.6500129699707,0.0030490620993077755,0.06057227402925491,40,False
4,1.6,60.240020751953125,0.0038173659704625607,0.05510435998439789,40,False
4,2.4,90.36003112792969,-0.0008665621280670166,0.06205539405345917,40,False
4,3.2,120.48004150390625,-0.0022900006733834743,0.057189714163541794,40,False
4,4.8,180.72006225585938,-0.003138457192108035,0.06752072274684906,40,False
4,6.4,240.9600830078125,-0.017340347170829773,0.049562934786081314,40,False
4,8.0,301.2001037597656,-0.01499161683022976,0.047986794263124466,40,False
8,0.05,2.4153850555419925,0.0031059705652296543,0.03636505827307701,40,False
8,0.1,4.830770111083985,0.00417280150577426,0.03752635046839714,40,False
8,0.2,9.66154022216797,0.013308797962963581,0.034983325749635696,40,False
8,0.3,14.492310333251952,0.008129900321364403,0.039323434233665466,40,False
8,0.4,19.32308044433594,0.01043944712728262,0.04583372175693512,40,False
8,0.6,28.984620666503904,-0.004044350236654282,0.04883231595158577,40,False
8,0.8,38.64616088867188,0.0019565571565181017,0.04950174316763878,40,False
8,1.0,48.307701110839844,0.015913408249616623,0.05201971158385277,40,True
8,1.6,77.29232177734376,0.00995675940066576,0.04950021207332611,40,False
8,2.4,115.93848266601562,-0.0021474692039191723,0.06123583763837814,40,False
8,3.2,154.58464355468752,-0.01800195313990116,0.0701117068529129,40,False
8,4.8,231.87696533203123,-0.040980514138936996,0.05423065647482872,40,False
8,6.4,309.16928710937503,-0.03512310981750488,0.0439477376639843,40,False
8,8.0,386.46160888671875,-0.01890723779797554,0.06005927920341492,40,False
12,0.05,2.8908544540405274,0.006791319698095322,0.023757917806506157,40,False
12,0.1,5.781708908081055,0.0036388575099408627,0.04885014146566391,40,False
12,0.2,11.56341781616211,0.014002432115375996,0.042717039585113525,40,True
12,0.3,17.345126724243162,0.010073584504425526,0.04104956239461899,40,False
12,0.4,23.12683563232422,0.012276874855160713,0.04362523555755615,40,False
12,0.6,34.690253448486324,0.005835146643221378,0.04407737776637077,40,False
12,0.8,46.25367126464844,-0.004654304124414921,0.052461739629507065,40,False
12,1.0,57.81708908081055,0.009566893801093102,0.062305331230163574,40,False
12,1.6,92.50734252929688,0.010367694310843945,0.07848428934812546,40,False
12,2.4,138.7610137939453,-0.024371063336730003,0.09232430160045624,40,False
12,3.2,185.01468505859376,-0.014368263073265553,0.06766755133867264,40,False
12,4.8,277.5220275878906,-0.005430144723504782,0.05283655598759651,40,False
12,6.4,370.0293701171875,-0.0199381522834301,0.045333851128816605,40,False
12,8.0,462.5367126464844,-0.012581713497638702,0.04072783514857292,40,False
16,0.05,4.668110656738281,0.008404465392231941,0.034546639770269394,40,False
16,0.1,9.336221313476562,0.008866655640304089,0.03660784661769867,40,False
16,0.2,18.672442626953124,0.0031584042590111494,0.05015674978494644,40,False
