layer,k,alpha_mean_or_formula_inputs,pilot_margin_mean,pilot_margin_std,n_examples_or_trials,selected_for_layer
0,0.05,k=0.05*mean_hidden_norm=31.0858=alpha=1.5543,0.0014622242888435721,0.010157830081880093,40,False
0,0.1,k=0.1*mean_hidden_norm=31.0858=alpha=3.1086,0.005662174429744482,0.026138171553611755,40,False
0,0.2,k=0.2*mean_hidden_norm=31.0858=alpha=6.2172,0.016739243641495705,0.043511901050806046,40,False
0,0.3,k=0.3*mean_hidden_norm=31.0858=alpha=9.3257,0.016723282635211945,0.04292760416865349,40,False
0,0.4,k=0.4*mean_hidden_norm=31.0858=alpha=12.4343,0.017692292109131813,0.05518575757741928,40,False
0,0.6,k=0.6*mean_hidden_norm=31.0858=alpha=18.6515,-0.0055842213332653046,0.06225759536027908,40,False
0,0.8,k=0.8*mean_hidden_norm=31.0858=alpha=24.8686,-0.002128234598785639,0.0704755187034607,40,False
0,1.0,k=1.0*mean_hidden_norm=31.0858=alpha=31.0858,0.022044893354177475,0.07265740633010864,40,True
0,1.6,k=1.6*mean_hidden_norm=31.0858=alpha=49.7372,-0.001987536670640111,0.07336882501840591,40,False
0,2.4,k=2.4*mean_hidden_norm=31.0858=alpha=74.6059,-0.0007032941794022918,0.0639844760298729,40,False
0,3.2,k=3.2*mean_hidden_norm=31.0858=alpha=99.4745,-0.0061601451598107815,0.0698021948337555,40,False
0,4.8,k=4.8*mean_hidden_norm=31.0858=alpha=149.2117,-0.012919589877128601,0.0639655739068985,40,False
0,6.4,k=6.4*mean_hidden_norm=31.0858=alpha=198.9490,-0.017853762954473495,0.0626007616519928,40,False
0,8.0,k=8.0*mean_hidden_norm=31.0858=alpha=248.6862,-0.01682330295443535,0.06931193917989731,40,False
3,0.05,k=0.05*mean_hidden_norm=36.4476=alpha=1.8224,-0.0017460169037804008,0.011129679158329964,40,False
3,0.1,k=0.1*mean_hidden_norm=36.4476=alpha=3.6448,-0.0015993185807019472,0.01508137583732605,40,False
3,0.2,k=0.2*mean_hidden_norm=36.4476=alpha=7.2895,-0.0019992575980722904,0.01737286150455475,40,False
3,0.3,k=0.3*mean_hidden_norm=36.4476=alpha=10.9343,-0.0024072849191725254,0.02988629788160324,40,False
3,0.4,k=0.4*mean_hidden_norm=36.4476=alpha=14.5790,-0.0064631314016878605,0.03150571137666702,40,False
3,0.6,k=0.6*mean_hidden_norm=36.4476=alpha=21.8685,-0.009540448896586895,0.05070437490940094,40,False
3,0.8,k=0.8*mean_hidden_norm=36.4476=alpha=29.1580,0.002369328634813428,0.06198698654770851,40,False
3,1.0,k=1.0*mean_hidden_norm=36.4476=alpha=36.4476,-0.002273380057886243,0.07996981590986252,40,False
3,1.6,k=1.6*mean_hidden_norm=36.4476=alpha=58.3161,-0.01233389787375927,0.07498989254236221,40,False
3,2.4,k=2.4*mean_hidden_norm=36.4476=alpha=87.4741,0.01143156923353672,0.08175840973854065,40,True
3,3.2,k=3.2*mean_hidden_norm=36.4476=alpha=116.6322,-0.0028974353335797787,0.07104911655187607,40,False
3,4.8,k=4.8*mean_hidden_norm=36.4476=alpha=174.9482,-0.008617797866463661,0.0686519667506218,40,False
3,6.4,k=6.4*mean_hidden_norm=36.4476=alpha=233.2643,-0.0066733090206980705,0.07326357811689377,40,False
3,8.0,k=8.0*mean_hidden_norm=36.4476=alpha=291.5804,0.007948439568281174,0.07293763756752014,40,False
5,0.05,k=0.05*mean_hidden_norm=45.1431=alpha=2.2572,0.0015512969112023711,0.01482157688587904,40,False
5,0.1,k=0.1*mean_hidden_norm=45.1431=alpha=4.5143,0.0024873267393559217,0.01659507118165493,40,False
5,0.2,k=0.2*mean_hidden_norm=45.1431=alpha=9.0286,0.006827829871326685,0.028143085539340973,40,False
5,0.3,k=0.3*mean_hidden_norm=45.1431=alpha=13.5429,0.008426003158092499,0.04839294031262398,40,False
5,0.4,k=0.4*mean_hidden_norm=45.1431=alpha=18.0572,0.006911500357091427,0.04533854499459267,40,False
