method,test_cosine,recall_at_5,margin_vs_probe,lexical_jaccard
semantic_probe_layer20,0.4282612058059962,0.7349397590361446,0.0,
topk_concat_k1,0.11101489786384419,0.1927710843373494,0.31724630794215203,0.07070568123899094
topk_weighted_k1,0.1068910541435163,0.18072289156626506,0.3213701516624799,0.07070568123899094
topk_concat_k5,0.16237554158199521,0.3132530120481928,0.26588566422400095,0.09416487365403774
topk_weighted_k5,0.16629945058578022,0.3373493975903614,0.261961755220216,0.11198246876237473
topk_concat_k10,0.1756493521746128,0.3614457831325301,0.2526118536313834,0.08236440004995178
topk_weighted_k10,0.1812326643494623,0.3373493975903614,0.24702854145653388,0.10075257127915466
short_rollout_m1,0.15850932662327688,0.3253012048192771,0.2697518791827193,0.09698191504534523
short_rollout_m3,0.4757474096041563,0.891566265060241,-0.0474862037981601,0.2764917940945581
short_rollout_m5,0.637128441743362,0.9759036144578314,-0.20886723593736584,0.43728587048041334
