method,test_cosine,recall_at_5,margin_vs_probe,lexical_jaccard
semantic_probe_layer20,0.3507694629728986,0.6987951807228916,0.0,
topk_concat_k1,0.10291094660721581,0.08433734939759036,0.24785851636568282,0.06324322749543757
topk_weighted_k1,0.09685401678640007,0.12048192771084337,0.25391544618649853,0.06324322749543757
topk_concat_k5,0.13677634130992594,0.1927710843373494,0.21399312166297269,0.07522382599063127
topk_weighted_k5,0.13552650771515962,0.20481927710843373,0.215242955257739,0.09340029176771623
topk_concat_k10,0.14336489194991356,0.30120481927710846,0.20740457102298507,0.07470492104412718
topk_weighted_k10,0.14597902143022914,0.26506024096385544,0.20479044154266948,0.0900881772136599
short_rollout_m1,0.17620653829740077,0.20481927710843373,0.17456292467549786,0.1042748413654639
short_rollout_m3,0.45115973988762387,0.8313253012048193,-0.10039027691472524,0.28496629287175373
short_rollout_m5,0.5994159562020464,0.9518072289156626,-0.24864649322914772,0.4272844651649344
