model,seed,best_k,layer,mean_hidden_norm,raw_alpha,semantic_score,random_score,margin,num_prompts
pythia-1.0b,101,0.2,13,91.55453491210938,18.310906982421876,-0.001255452516488731,-0.0013214923674240708,6.603985093533993e-05,60
pythia-1.0b,202,0.2,13,91.55453491210938,18.310906982421876,-0.0024783771950751543,-0.0001802062033675611,-0.002298170991707593,60
pythia-1.0b,303,0.2,13,91.55453491210938,18.310906982421876,0.0006758449017070234,-0.0034380252473056316,0.004113870149012655,60
pythia-1.0b,404,0.2,13,91.55453491210938,18.310906982421876,-0.00033436741796322167,0.0005983667797408998,-0.0009327341977041215,60
pythia-1.0b,505,0.2,13,91.55453491210938,18.310906982421876,-0.000768996134866029,0.0002801860391627997,-0.0010491821740288287,60
pythia-2.8b,101,3.2,27,272.3387145996094,871.48388671875,0.01334731001406908,0.0037530313711613417,0.009594278642907739,60
pythia-2.8b,202,3.2,27,272.3387145996094,871.48388671875,0.017378760501742363,0.008773376233875751,0.008605384267866611,60
pythia-2.8b,303,3.2,27,272.3387145996094,871.48388671875,0.024010922759771347,0.010834419168531895,0.013176503591239452,60
pythia-2.8b,404,3.2,27,272.3387145996094,871.48388671875,0.015554757788777351,0.009877672418951988,0.005677085369825363,60
pythia-2.8b,505,3.2,27,272.3387145996094,871.48388671875,0.015356120653450489,0.00903027132153511,0.006325849331915379,60
pythia-410m,101,6.4,20,48.07675552368164,307.6912353515625,0.04830256849527359,0.004525124095380306,0.043777444399893284,60
pythia-410m,202,6.4,20,48.07675552368164,307.6912353515625,0.05453455448150635,-0.016701698303222656,0.071236252784729,60
pythia-410m,303,6.4,20,48.07675552368164,307.6912353515625,0.04609261080622673,-0.01082623191177845,0.05691884271800518,60
pythia-410m,404,6.4,20,48.07675552368164,307.6912353515625,0.047683101147413254,-0.0005324034718796611,0.048215504619292915,60
pythia-410m,505,6.4,20,48.07675552368164,307.6912353515625,0.04943051189184189,-0.012781920842826366,0.062212432734668255,60
pythia-1.4b,101,6.4,20,173.2047882080078,1108.5106445312501,0.038827426731586456,-0.008954791352152824,0.04778221808373928,60
pythia-1.4b,202,6.4,20,173.2047882080078,1108.5106445312501,0.03552136942744255,-0.0030412673950195312,0.03856263682246208,60
pythia-1.4b,303,6.4,20,173.2047882080078,1108.5106445312501,0.02686450444161892,-0.013966661877930164,0.040831166319549084,60
pythia-1.4b,404,6.4,20,173.2047882080078,1108.5106445312501,0.034697458148002625,0.002159465802833438,0.03253799234516919,60
pythia-1.4b,505,6.4,20,173.2047882080078,1108.5106445312501,0.038727883249521255,-0.003345909295603633,0.04207379254512489,60
